sender,nominal_interval_s,p_g2b_full,r_b2g_full,pi_bad_full,eps_good_full,eps_bad_full,loglik_full,mean_bad_run_pkts_full,mean_good_run_pkts_full,p_g2b_steady_fl,r_b2g_steady_fl,pi_bad_steady_fl,eps_good_steady_fl,eps_bad_steady_fl,loglik_steady_fl,mean_bad_run_pkts_steady_fl,mean_good_run_pkts_steady_fl,p_g2b_steady_rp,r_b2g_steady_rp,pi_bad_steady_rp,eps_good_steady_rp,eps_bad_steady_rp,loglik_steady_rp,mean_bad_run_pkts_steady_rp,mean_good_run_pkts_steady_rp
268,0.09999999999999432,0.00439384917611907,0.005050846083882549,0.46521873444949213,0.5859302598985777,0.999999,-208.82385427958476,197.986631030203,227.59087986794856,0.004045732495643392,0.0029816763804835747,0.5757075711628616,0.5851314696468853,0.999999,-203.9464250844283,335.3818028493816,247.1740287023031,1e-06,0.40430304984394555,2.4733860578096682e-06,0.27304599664446727,0.999999,-36.23085441265869,2.47339217546339,1000000.0
274,0.09999999999999432,0.005080290516308781,0.00472056910907432,0.5183515232838772,0.034997520506883,0.9814866304417202,-98.31239375078741,211.83886452964038,196.83913681506868,0.004923237583035693,0.0052225885507691285,0.485247580444138,0.0348513798702332,0.9788747086920352,-97.01686189636223,191.47593004483005,203.11837142407313,1e-06,0.02100879390672948,4.759684956641568e-05,0.006465674979610189,0.20549776689511845,-33.49485824056219,47.59911513433823,1000000.0
28,0.09999999999999432,0.005286798773567462,0.010965502445294378,0.3252953967793676,0.018435403528050783,0.9894539190898997,-202.03919458939555,91.1950916055953,189.1503805667287,0.00497228640164803,0.010930283237773156,0.31267188350001834,0.015752283182110537,0.9811207374578272,-200.6124567589714,91.48893750018975,201.1147225285649,0.0011493157296583118,0.015511833476662336,0.06898178003365471,0.004201135930747852,0.18410017835320996,-75.84996826353198,64.46691176155979,870.0829321263158
280,0.09999999999999432,0.007161099428806116,0.005925420874147128,0.5472118839100465,0.07955458439515113,0.9963931652440434,-96.24875976096105,168.7643833644027,139.64336202028102,0.005096480888929199,0.0031201873801087483,0.6202612448325022,0.10036415128704258,0.999999,-90.50212623719528,320.493572397292,196.21382318380594,1e-06,0.02085488499709754,4.794809715047658e-05,0.006196784374488145,0.2711478520176355,-36.678492613242284,47.95039628073586,1000000.0
286,0.09999999999999432,0.007270239722114232,0.005181233864958573,0.5838858887884755,0.06665633190567613,0.9915154613172021,-87.34125865729428,193.00421985642132,137.54704634542554,0.015613812748179301,0.007635038051073671,0.6715950342234122,0.08140288070662512,0.999999,-84.79432892183402,130.97511673296452,64.04585581549313,1e-06,0.028715658971852378,3.482299249993477e-05,0.026228371131454296,0.17931391630528362,-34.93391660870958,34.82420518297068,1000000.0
292,0.09999999999999432,0.00867966517617512,0.004850330160840897,0.6415127987833722,0.06302981821120349,0.9876270893006021,-83.8742477774653,206.1715320069327,115.21181747251124,0.018152711913743427,0.006367344481401084,0.7403209691368429,0.0627164049717718,0.9903420263001196,-82.9411581852026,157.05134266270414,55.088187635639144,0.007590374678185832,0.0026100301880897935,0.7441248438364418,0.052403457901386785,0.999999,-40.26604821282717,383.13733096392707,131.7458020713951
298,0.09999999999999432,0.011963929821183102,0.004184084198350411,0.740891716263739,0.17126317798257737,0.9956016977180248,-71.0336557091363,239.00092650961787,83.58457588320347,0.022743504954664345,0.0048345885146399824,0.8246946069705253,0.18693060767596598,0.9985169251127541,-68.6820096382514,206.84283615282345,43.96859683647464,0.013699753574869356,0.0024142725995387696,0.8501757057231883,0.1502114565477725,0.999999,-43.2720435471502,414.2034334445262,72.99401369046423
304,0.09999999999999432,1e-06,0.014543537835509613,6.875433315994134e-05,0.21685283771637678,0.9703389226441836,-45.592264638892914,68.75906064330457,1000000.0,1e-06,0.0705718468204221,1.4169755721270179e-05,0.21706003812452482,0.8324765111064305,-40.38975662860691,14.16995650609245,1000000.0,1e-06,0.129748940625492,7.707132621250154e-06,0.19710611060680072,0.999999,-30.72085886426432,7.707192021601202,1000000.0
316,0.09999999999999432,1e-06,0.014022114841136593,7.13108329589169e-05,0.16981438774440705,0.9473703030330785,-40.806529459033825,71.31591855647238,1000000.0,1e-06,0.04108439079273067,2.4339551862725184e-05,0.13556366003834272,0.7728001794309242,-33.63005847100199,24.3401442909295,1000000.0,1e-06,0.5521193222465423,1.8111994065551942e-06,0.10422713843225262,0.999999,-14.195215813279153,1.8112026870044262,1000000.0
328,0.09999999999999432,1e-06,0.016782783835853757,5.958132026604071e-05,0.28825338228992536,0.999999,-40.507124295853714,59.5848704112877,1000000.0,0.22968562710995924,0.36526256748511426,0.3860598774760298,0.094698518233863,0.5946771179009886,-35.14493063131115,2.7377565866799465,4.353776997640614,1e-06,0.016782783835853757,5.958132026604071e-05,0.28825338228992536,0.999999,-40.507124295853714,59.5848704112877,1000000.0
34,0.09999999999999432,0.0017468833084712694,0.005329334337745472,0.2468668144210107,0.021559573249699412,0.9853105034865383,-191.83328183208496,187.64069518352665,572.4480823364893,0.0017479481392528716,0.006028042871693705,0.2247878292030192,0.02141013697406681,0.982815804867057,-190.64123614906623,165.8913218244961,572.0993532608077,0.0010702309041148747,0.026484531782247897,0.03884014231211458,0.008644487639414555,0.22742941943598013,-101.35484526970583,37.75788857518266,934.3778021688146
340,0.09999999999999432,1e-06,0.014077055992230135,7.1032534644834e-05,0.2255069078481999,0.9594069102861201,-46.42066997380499,71.03758062424077,1000000.0,0.010870679245595668,0.06232918849215035,0.14850681540221045,0.1903283902044785,0.8334744944252644,-41.18344516049071,16.04384758075165,91.99057183157686,1e-06,0.2667176114761192,3.7492696683805866e-06,0.15027086607812465,0.999999,-21.96827142229227,3.7492837254563365,1000000.0
346,0.09999999999999432,1e-06,0.017403342371816673,5.7456925325677755e-05,0.3444152619188259,0.999999,-44.31570864656342,57.46022681363899,1000000.0,0.24919196374921873,0.5771709889618766,0.30155268085492054,0.10132633441915981,0.9020244892711657,-39.00170571028823,1.7325888153156157,4.01297050255753,1e-06,0.37810653776454123,2.644750236697819e-06,0.1917651754828524,0.999999,-19.744011995112267,2.644757231420133,1000000.0
352,0.09999999999999432,0.003113647176382471,0.016548255583428907,0.1583594026691413,0.2581933733762662,0.9532678768474884,-60.49362347514242,60.42933014651889,321.16676789366676,1e-06,0.02237590625364092,4.468893012577603e-05,0.1532414126166568,0.696721986608564,-51.69241384355054,44.6909273155041,1000000.0,1e-06,0.17256708662416453,5.7948142067420416e-06,0.1382870626516288,0.5220550075941274,-21.856959682817596,5.794847786808323,1000000.0
358,0.09999999999999432,1e-06,0.013855936728807831,7.216602194055296e-05,0.2981791446080079,0.9390739366104389,-61.18190686466335,72.17123025113874,1000000.0,0.23489583295592423,0.30256490471265857,0.4370474278267546,0.045301019474171755,0.9053805504182839,-54.60520501194324,3.3050759834478662,4.25720621526581,1e-06,0.1236977173202599,8.084158200371376e-06,0.14187179457426333,0.5189301279154914,-23.08485362677085,8.08422355451352,1000000.0
364,0.09999999999999432,1e-06,0.01651453423943341,6.0549055543861495e-05,0.31388161951630966,0.966354606827456,-55.50778418748391,60.55272195398642,1000000.0,1e-06,0.06250728499509514,1.5997879322372504e-05,0.3091148923011728,0.7874472274153107,-50.524499968611345,15.998135258609754,1000000.0,0.004300629986963209,0.6220259201452867,0.006866434108621332,0.19737320782327258,0.999999,-21.281317002491594,1.6076500473909991,232.5240727594254
370,0.09999999999999432,1e-06,0.014156260473139138,7.063513466445861e-05,0.20850586720779987,0.9572877437033626,-47.17705227056493,70.64012433915401,1000000.0,1e-06,0.053067194339597,1.8843678637353726e-05,0.20864070574318963,0.8309016660077313,-41.53131824586743,18.844033728269533,1000000.0,0.2511570095954497,0.06670106197174275,0.7901545754591834,0.009631052913545877,0.24113992787018676,-23.016964516601803,14.99226504704888,3.981573126749465
376,0.09999999999999432,0.033918077129643794,0.019177646836153167,0.6388099567395114,0.14310702715124132,0.939220740492459,-50.73762080264167,52.144040848370814,29.482803408275107,0.08484439629819293,0.07900155032483573,0.5178303036900883,0.06624616928131315,0.8417217180833207,-40.46788337100429,12.65797944329239,11.786282225232812,0.03342419175073582,0.16293214816143867,0.1702221164118544,0.07205465238563061,0.790502469408903,-24.091614961014038,6.137524185890966,29.918449710245735
382,0.09999999999999432,1e-06,0.016608437693742255,6.0206734173593264e-05,0.31553740617511317,0.9795411052235731,-53.126767875647865,60.21035924268669,1000000.0,0.03586500524818456,0.0436239375750275,0.45119489547056096,0.03638124801768261,0.6483097244375651,-42.90222572104983,22.92319436502333,27.88233245973437,0.05244671918397514,1e-06,0.9999809333939481,1e-06,0.23885775161590517,-12.948389405940258,1000000.0,19.06696959426864
388,0.09999999999999432,1e-06,0.014622949812729637,6.838097865526966e-05,0.2431482256292272,0.9752497347526988,-39.76992653664666,68.38565493327998,1000000.0,1e-06,0.05377529709493676,1.859555332035224e-05,0.23393313390283288,0.8842104611697044,-35.795622880357385,18.595899121385894,1000000.0,0.004521249189286908,0.18650871201949928,0.023667749083325255,0.21393044012447968,0.3313119182825796,-25.68099731737715,5.361679833462423,221.1778112937235
394,0.09999999999999432,1e-06,0.0168243974714068,5.943395998218806e-05,0.36141848966373835,0.9478783040488391,-42.327801971183106,59.43749258774397,1000000.0,0.058132060619115335,0.07457550212592405,0.4380463284583102,0.2705017208451618,0.7669740458266967,-36.39283857581419,13.409229190457955,17.20221147074174,0.058132060619115335,0.07457550212592405,0.4380463284583102,0.2705017208451618,0.7669740458266967,-36.39283857581419,13.409229190457955,17.20221147074174
40,0.09999999999999432,0.0017541622307584643,0.007019924463362323,0.19992533603911936,0.01760238754603303,0.999999,-143.08240508579502,142.45167525934195,570.0727004979581,0.0017224800026535362,0.005455277420567748,0.23997467469171027,0.017647242512126394,0.999999,-137.64900408133155,183.30873444304632,580.5582639330893,1e-06,0.013166029481854772,7.594727431711766e-05,0.009191574162540697,0.8809386012579421,-94.09483335070612,75.95304274369013,1000000.0
400,0.09999999999999432,0.16547905610448796,0.035082421136781346,0.8250789652163448,0.8342577635099805,0.9451205289682261,-17.91106531264056,28.504304081555343,6.043060817125841,0.999999,0.22222172268166757,0.8181820038248966,1e-06,0.999999,-9.534723242883691,4.500010115718971,1.000001000001,0.999999,0.22222172268166757,0.8181820038248966,1e-06,0.999999,-9.534723242883691,4.500010115718971,1.000001000001
46,0.09999999999999432,0.0034876144768603784,0.009534499373065664,0.2678224531787661,0.015368060614645306,0.9777984571671563,-193.44990311653262,104.88227654877555,286.728939403939,0.0045332366834920645,0.011632631706945893,0.2804202393589604,0.015195359465449693,0.9808837291008373,-189.6084600696028,85.9650700883873,220.59293829539808,0.0010470155731359106,0.0165653419732342,0.05944778093331971,0.004700085626091109,0.21807113626455638,-84.03275228350543,60.36700006651062,955.0956314860777
